Policy Number,Policy Effective Date,Policy Expiration Date,Agency ID,Underwriting Company ID,Cancel Date
1019139,2013-07-01,2013-12-31,16,1,
1019140,2012-07-25,2013-07-25,17,3,
1019141,2012-01-01,2012-12-31,4,6,
1019142,2011-03-17,2012-03-17,8,3,
1019143,2013-11-14,2014-11-14,12,7,
1019144,2012-08-20,2013-08-20,18,5,
1019145,2011-04-19,2012-04-19,19,6,
1019146,2013-05-12,2013-11-09,14,1,
1019147,2012-04-17,2012-10-17,4,5,
1019148,2011-12-01,2012-12-01,18,7,2012-06-22
1019149,2012-10-14,2013-04-16,1,5,
1019150,2012-07-19,2013-01-18,7,3,
1019151,2013-03-08,2013-09-08,15,3,
1019152,2011-08-07,2012-08-07,5,3,
1019153,2011-11-02,2012-11-01,20,4,
1019154,2011-02-07,2011-08-10,4,2,
1019155,2013-11-08,2014-05-09,1,7,
1019156,2012-08-08,2013-02-05,4,5,
1019157,2012-02-27,2012-08-27,14,7,
1019158,2012-06-12,2013-06-12,5,7,
1019159,2013-06-26,2013-12-25,14,3,
1019160,2011-01-18,2012-01-18,15,2,
1019161,2012-08-24,2013-02-24,13,1,
1019162,2012-04-28,2012-10-28,2,1,
1019163,2012-05-11,2012-11-09,19,4,
1019164,2012-12-31,2013-06-30,10,2,
1019165,2011-06-06,2012-06-06,19,6,
1019166,2013-01-05,2013-07-06,1,1,
1019167,2013-04-24,2014-04-24,18,6,
1019168,2013-01-26,2013-07-27,8,3,
1019169,2012-04-27,2012-10-26,11,5,
1019170,2012-08-22,2013-02-22,5,7,
1019171,2013-02-14,2014-02-14,15,5,
1019172,2012-10-24,2013-10-24,18,2,
1019173,2014-01-02,2015-01-02,3,5,
1019174,2011-09-17,2012-03-19,2,5,
1019175,2011-04-19,2011-10-17,1,6,
1019176,2010-12-15,2011-06-16,20,5,
1019177,2013-12-26,2014-12-26,16,6,
1019178,2011-12-20,2012-12-20,6,2,
1019179,2013-08-27,2014-02-27,15,5,
1019180,2012-11-23,2013-11-23,15,6,
1019181,2013-10-03,2014-04-03,5,1,
1019182,2012-04-09,2012-10-10,11,6,
1019183,2012-10-05,2013-10-05,2,2,
1019184,2013-05-23,2013-11-20,5,6,
1019185,2012-01-27,2013-01-27,11,2,
1019186,2012-09-15,2013-03-16,2,4,
1019187,2013-05-18,2014-05-18,9,1,
1019188,2013-03-08,2014-03-08,6,1,
1019189,2013-03-09,2014-03-09,10,2,
1019190,2012-10-19,2013-04-18,5,7,
1019191,2012-10-26,2013-04-25,15,6,
1019192,2014-01-19,2015-01-19,17,3,
1019193,2012-12-18,2013-06-18,12,6,
1019194,2010-12-02,2011-12-03,9,2,
1019195,2012-10-09,2013-10-09,4,5,
1019196,2010-11-10,2011-05-10,10,7,
1019197,2013-04-18,2013-10-17,9,4,
1019198,2012-04-12,2012-10-11,17,3,
1019199,2013-04-26,2014-04-26,8,1,
1019200,2012-11-03,2013-11-03,8,1,
1019201,2012-09-18,2013-09-18,16,4,2013-08-23
1019202,2011-03-01,2011-08-31,19,6,
1019203,2012-07-24,2013-01-24,19,4,
1019204,2012-09-23,2013-09-23,7,3,
1019205,2011-10-22,2012-10-22,20,2,
1019206,2012-02-28,2013-02-28,15,7,
1019207,2012-07-06,2013-07-06,5,5,
1019208,2013-05-08,2014-05-08,7,7,
1019209,2011-11-04,2012-05-05,7,5,
1019210,2013-04-07,2013-10-05,9,2,2013-09-01
1019211,2012-07-01,2012-12-30,2,1,
1019212,2012-11-13,2013-05-14,12,7,
1019213,2012-05-24,2013-05-25,20,2,
1019214,2013-01-02,2013-07-05,14,2,
1019215,2012-07-22,2013-01-20,3,1,
1019216,2013-07-18,2014-07-18,2,5,
1019217,2011-07-14,2012-07-13,1,2,
1019218,2012-02-09,2013-02-09,2,6,
1019219,2013-05-05,2013-11-05,20,4,
1019220,2011-11-23,2012-05-25,1,6,
1019221,2011-10-24,2012-04-24,15,6,
1019222,2013-06-19,2014-06-19,15,4,
1019223,2013-07-25,2014-07-25,14,3,
1019224,2012-01-25,2012-07-27,13,1,
1019225,2011-07-08,2012-01-08,3,4,
1019226,2013-11-06,2014-11-06,8,3,
1019227,2013-03-23,2014-03-23,4,3,
1019228,2012-05-03,2012-11-02,11,5,
1019229,2011-03-23,2012-03-23,1,6,
1019230,2011-12-13,2012-06-12,6,4,
1019231,2011-05-23,2011-11-20,18,5,
1019232,2013-03-25,2013-09-25,18,1,
1019233,2011-08-21,2012-02-19,13,5,
1019234,2012-01-04,2013-01-03,19,6,
1019235,2011-07-18,2012-01-17,7,5,
1019236,2012-03-18,2012-09-16,3,2,
1019237,2013-07-10,2014-01-10,1,2,
1019238,2010-09-25,2011-03-25,3,7,
1019239,2011-12-15,2012-06-14,15,1,
1019240,2014-02-23,2015-02-23,14,5,
1019241,2011-03-29,2011-09-28,18,5,
1019242,2012-05-16,2013-05-16,6,2,
1019243,2012-03-06,2013-03-06,3,5,
1019244,2012-12-07,2013-06-09,11,2,2013-05-07
1019245,2014-01-28,2014-07-28,16,7,
1019246,2012-07-02,2013-01-01,4,3,
1019247,2013-09-13,2014-03-16,17,4,
1019248,2010-12-30,2011-07-01,19,3,
1019249,2012-02-13,2013-02-13,4,7,
1019250,2013-01-08,2013-07-08,12,3,
1019251,2013-06-14,2014-06-14,9,6,
1019252,2012-02-20,2012-08-20,15,7,
1019253,2012-07-04,2013-07-04,7,3,
1019254,2011-12-09,2012-12-09,9,3,
1019255,2012-02-18,2012-08-18,1,6,
1019256,2014-04-07,2015-04-07,3,6,
1019257,2013-04-01,2013-10-02,8,2,
1019258,2012-10-26,2013-10-26,7,4,
1019259,2012-12-04,2013-06-03,8,7,
1019260,2012-10-13,2013-10-13,9,2,
1019261,2012-06-15,2013-06-15,18,2,
1019262,2011-12-19,2012-06-19,12,3,
1019263,2012-01-02,2012-07-04,11,5,
1019264,2011-02-19,2012-02-20,7,6,
1019265,2011-05-20,2012-05-20,20,7,
1019266,2012-07-03,2013-07-03,4,3,
1019267,2013-03-27,2013-09-26,4,1,
1019268,2013-09-22,2014-03-23,5,7,
1019269,2013-10-16,2014-10-16,11,4,
1019270,2012-03-09,2013-03-10,10,3,
1019271,2012-05-29,2012-11-26,6,4,
1019272,2012-10-04,2013-04-06,13,1,
1019273,2012-07-28,2013-01-25,8,2,2012-12-13
1019274,2012-07-24,2013-07-24,17,3,
1019275,2013-09-02,2014-03-03,7,1,
1019276,2011-05-16,2012-05-16,18,2,
1019277,2013-05-13,2013-11-13,13,2,
1019278,2012-05-23,2013-05-23,4,4,
1019279,2012-05-31,2013-05-31,16,1,
1019280,2012-12-07,2013-06-09,4,7,
1019281,2014-04-04,2015-04-04,6,5,
1019282,2011-08-30,2012-08-30,3,5,
1019283,2010-11-27,2011-05-27,19,5,
1019284,2010-08-10,2011-08-10,1,3,
1019285,2013-08-27,2014-02-25,14,7,
1019286,2013-04-16,2014-04-16,15,5,
1019287,2013-01-09,2014-01-09,20,6,
1019288,2010-11-09,2011-11-10,10,2,
1019289,2012-03-04,2013-03-04,18,5,
1019290,2013-11-19,2014-05-19,15,7,
1019291,2013-05-01,2013-10-31,5,6,
1019292,2012-09-22,2013-03-22,20,3,
1019293,2012-05-23,2012-11-22,20,1,
1019294,2011-03-14,2012-03-14,16,7,
1019295,2011-03-11,2012-03-10,8,3,
1019296,2012-10-24,2013-04-23,12,5,
1019297,2010-09-10,2011-03-10,3,3,
1019298,2011-09-20,2012-09-20,1,6,
1019299,2013-07-16,2014-07-16,14,6,
1019300,2011-03-25,2012-03-24,7,7,
1019301,2011-05-28,2011-11-27,4,2,2011-08-15
1019302,2011-04-13,2012-04-13,18,7,
1019303,2013-02-21,2013-08-23,16,1,
1019304,2013-03-29,2014-03-29,6,4,
1019305,2012-01-07,2013-01-06,2,7,
1019306,2011-05-09,2011-11-07,8,3,
1019307,2013-01-25,2013-07-25,17,4,
1019308,2010-11-02,2011-05-04,11,1,
1019309,2012-08-04,2013-08-04,5,2,
1019310,2012-04-15,2012-10-16,7,4,
1019311,2012-03-16,2012-09-15,12,4,
1019312,2012-04-21,2013-04-21,12,5,
1019313,2011-03-22,2012-03-22,14,4,
1019314,2013-10-05,2014-04-04,8,1,
1019315,2013-03-05,2014-03-05,10,5,
1019316,2013-08-25,2014-02-24,6,5,
1019317,2010-12-07,2011-12-08,17,3,
1019318,2012-01-24,2012-07-26,11,5,
1019319,2012-09-03,2013-09-03,2,5,
1019320,2011-12-04,2012-06-03,19,1,
1019321,2013-01-01,2014-01-01,13,1,
1019322,2013-12-19,2014-06-19,8,6,
1019323,2011-11-06,2012-11-06,11,3,
1019324,2012-06-15,2013-06-15,4,3,
1019325,2011-05-06,2012-05-06,15,3,
1019326,2011-11-22,2012-11-22,2,4,
1019327,2013-09-24,2014-09-24,16,4,
1019328,2010-10-19,2011-10-20,5,3,
1019329,2012-02-03,2012-08-05,4,7,
1019330,2012-08-09,2013-02-07,3,3,
1019331,2013-07-19,2014-07-19,19,2,2014-04-17
1019332,2012-08-12,2013-02-12,13,4,
1019333,2012-06-15,2012-12-16,19,5,
1019334,2011-05-10,2012-05-10,19,3,2011-12-16
1019335,2011-06-06,2012-06-06,11,5,
1019336,2013-07-11,2014-01-11,13,7,
1019337,2011-09-04,2012-09-04,10,7,
1019338,2011-11-23,2012-11-22,18,5,
1019339,2013-09-20,2014-09-20,15,3,
1019340,2012-01-20,2013-01-20,4,3,
1019341,2011-09-08,2012-03-09,6,7,
1019342,2014-03-02,2014-08-31,14,3,
1019343,2013-08-12,2014-08-12,16,6,
1019344,2011-11-14,2012-11-14,15,6,
1019345,2012-10-01,2013-04-03,13,3,
1019346,2013-05-02,2013-10-30,14,7,
1019347,2012-12-15,2013-06-17,14,2,
1019348,2013-08-12,2014-02-10,13,6,2014-01-14
1019349,2013-12-04,2014-06-06,4,2,2014-04-02
1019350,2012-12-11,2013-12-11,14,3,
1019351,2011-08-24,2012-02-24,11,3,2011-09-21
1019352,2012-06-27,2013-06-27,13,2,
1019353,2011-11-16,2012-05-16,17,4,
1019354,2012-07-04,2013-01-01,13,5,
1019355,2012-05-07,2013-05-07,11,2,2012-12-17
1019356,2012-04-01,2013-04-01,13,6,
1019357,2011-11-09,2012-05-09,13,3,
1019358,2013-08-13,2014-02-13,11,1,
1019359,2013-02-07,2013-08-10,17,5,
1019360,2011-11-20,2012-05-20,2,6,
1019361,2011-10-14,2012-10-14,3,6,
1019362,2013-03-05,2014-03-05,13,7,
1019363,2011-07-16,2012-01-16,1,3,
1019364,2012-05-19,2013-05-20,16,1,
1019365,2013-06-01,2013-12-02,19,3,
1019366,2012-07-04,2013-01-03,7,2,
1019367,2012-12-13,2013-06-13,2,6,
1019368,2013-02-28,2014-02-28,19,3,
1019369,2012-03-13,2012-09-12,18,3,
1019370,2013-11-12,2014-05-14,18,2,
1019371,2011-09-03,2012-03-03,15,5,
1019372,2011-05-09,2011-11-08,4,4,
1019373,2013-06-30,2013-12-31,10,2,
1019374,2012-09-25,2013-09-25,17,4,
1019375,2011-10-18,2012-10-18,1,2,
1019376,2012-05-03,2012-11-01,6,6,
1019377,2013-03-16,2014-03-16,7,2,
1019378,2011-12-09,2012-12-08,3,4,
1019379,2012-12-04,2013-06-03,11,1,
1019380,2013-04-13,2014-04-13,19,4,
1019381,2010-08-17,2011-02-14,6,3,
1019382,2012-12-21,2013-06-23,4,1,
1019383,2010-12-22,2011-12-23,3,4,
1019384,2014-01-08,2015-01-08,14,4,
1019385,2011-01-14,2011-07-17,10,6,2011-02-26
1019386,2011-08-01,2012-08-01,7,6,
1019387,2013-01-08,2014-01-08,2,1,
1019388,2012-11-12,2013-05-12,11,5,
1019389,2013-01-07,2014-01-07,5,2,
1019390,2012-12-15,2013-12-15,4,5,
1019391,2013-04-02,2014-04-02,12,7,
1019392,2013-02-02,2013-08-05,19,5,2013-08-02
1019393,2011-11-09,2012-11-09,3,2,
1019394,2011-01-24,2011-07-27,3,4,
1019395,2012-08-01,2013-02-01,2,3,2012-11-26
1019396,2011-08-06,2012-02-05,5,1,
1019397,2013-12-05,2014-12-05,6,2,
1019398,2011-06-19,2011-12-19,5,3,
1019399,2011-01-02,2011-07-05,9,4,
1019400,2011-01-14,2011-07-17,16,2,2011-04-11
1019401,2013-02-28,2014-02-28,13,6,
1019402,2012-12-17,2013-06-16,14,3,
1019403,2011-12-17,2012-06-16,3,2,
1019404,2011-07-06,2012-07-06,19,1,
1019405,2013-12-20,2014-12-20,20,7,
1019406,2010-08-22,2011-02-19,3,4,
1019407,2011-05-21,2012-05-21,15,7,
1019408,2013-05-11,2014-05-11,11,4,
1019409,2012-09-13,2013-03-13,15,1,
1019410,2013-03-08,2013-09-06,10,3,
1019411,2014-02-22,2015-02-22,16,1,
1019412,2011-07-15,2012-07-15,18,2,
1019413,2011-07-27,2012-01-27,20,2,
1019414,2011-01-20,2011-07-22,7,2,
1019415,2011-09-26,2012-09-26,5,7,
1019416,2013-02-23,2014-02-23,3,5,
1019417,2012-08-27,2013-08-27,5,5,
1019418,2011-11-04,2012-05-04,19,1,
1019419,2011-02-21,2011-08-23,12,4,
1019420,2012-02-25,2013-02-25,13,5,
1019421,2012-06-25,2012-12-25,1,3,
1019422,2013-06-03,2013-12-01,18,7,
1019423,2012-08-19,2013-02-16,10,5,
1019424,2013-03-08,2013-09-07,15,3,
1019425,2013-11-16,2014-11-16,6,6,
1019426,2011-05-27,2012-05-27,20,3,
1019427,2013-03-01,2013-08-30,13,4,
1019428,2011-08-07,2012-08-07,9,5,
1019429,2014-01-12,2015-01-12,10,1,
1019430,2012-06-15,2012-12-13,13,6,
1019431,2011-11-08,2012-11-08,8,4,
1019432,2011-09-27,2012-09-27,10,5,
1019433,2012-05-05,2013-05-05,13,1,
1019434,2011-06-25,2011-12-25,6,3,
1019435,2013-02-24,2014-02-24,14,5,
1019436,2013-03-19,2014-03-19,9,4,
1019437,2013-06-05,2013-12-03,15,6,
1019438,2012-07-12,2013-07-12,15,2,
1019439,2011-09-16,2012-09-15,4,3,
1019440,2012-09-01,2013-09-01,7,1,
1019441,2011-07-29,2012-07-29,1,7,
1019442,2013-01-20,2014-01-20,15,2,
1019443,2011-07-20,2012-07-20,19,5,
1019444,2012-03-01,2013-03-01,4,4,
1019445,2013-07-20,2014-07-20,6,1,
1019446,2012-02-22,2013-02-21,4,6,
1019447,2013-03-21,2014-03-21,16,1,
1019448,2010-09-16,2011-09-17,5,2,
1019449,2012-02-09,2012-08-09,6,1,
1019450,2011-01-29,2011-07-31,4,7,
1019451,2012-03-18,2013-03-19,17,3,
1019452,2012-04-29,2012-10-28,1,1,
1019453,2012-05-29,2013-05-29,11,6,
1019454,2011-10-07,2012-10-07,15,6,
1019455,2012-02-14,2012-08-14,9,5,2012-05-20
1019456,2011-12-12,2012-12-11,20,5,
1019457,2012-03-08,2012-09-08,11,2,
1019458,2012-05-15,2013-05-15,16,3,
1019459,2012-05-13,2013-05-13,3,5,
1019460,2012-03-23,2013-03-23,8,7,
1019461,2013-10-03,2014-04-03,14,6,
1019462,2011-05-19,2011-11-18,13,7,2011-09-18
1019463,2014-04-02,2014-09-30,7,1,
1019464,2013-09-29,2014-03-29,5,5,
1019465,2012-05-26,2013-05-26,12,7,
1019466,2011-09-05,2012-03-05,4,6,
1019467,2013-02-06,2014-02-06,11,4,
1019468,2011-01-14,2011-07-16,14,1,2011-06-11
1019469,2013-04-14,2014-04-14,4,4,
1019470,2011-07-11,2012-01-10,13,4,
1019471,2011-05-18,2012-05-17,12,4,
1019472,2011-11-08,2012-05-10,12,3,
1019473,2011-12-04,2012-12-04,12,5,
1019474,2011-12-29,2012-06-28,16,4,
1019475,2011-09-04,2012-09-04,1,4,
1019476,2012-08-08,2013-08-08,16,5,
1019477,2011-09-19,2012-09-19,9,1,
1019478,2012-07-23,2013-01-23,18,3,
1019479,2011-07-14,2012-07-14,4,7,
1019480,2011-11-11,2012-05-12,2,2,
1019481,2011-07-22,2012-07-22,1,6,
1019482,2013-08-12,2014-02-11,11,2,
1019483,2013-10-05,2014-04-07,1,6,
1019484,2013-02-12,2014-02-12,12,6,
1019485,2013-03-05,2014-03-05,2,6,
1019486,2013-01-25,2013-07-28,1,2,
1019487,2013-10-13,2014-04-15,5,4,
1019488,2012-08-17,2013-02-17,20,7,
1019489,2012-06-22,2013-06-22,11,7,
1019490,2011-06-28,2011-12-26,14,3,
1019491,2013-02-04,2014-02-04,1,5,
1019492,2012-02-09,2012-08-11,20,2,
1019493,2013-07-09,2014-01-06,6,4,2013-12-12
1019494,2013-03-19,2014-03-19,1,4,
1019495,2013-02-14,2013-08-16,14,1,
1019496,2011-09-30,2012-03-30,19,5,
1019497,2011-01-11,2012-01-11,12,7,
1019498,2012-01-01,2012-07-02,4,6,
1019499,2012-09-27,2013-03-29,14,3,
1019500,2013-01-29,2014-01-29,12,1,
1019501,2011-03-03,2011-09-03,5,6,
1019502,2011-06-15,2011-12-13,6,4,
1019503,2013-01-04,2014-01-04,10,6,
1019504,2013-02-05,2013-08-06,10,5,
1019505,2012-10-26,2013-04-28,18,2,
1019506,2010-11-03,2011-11-03,15,2,
1019507,2012-09-26,2013-09-26,9,2,
1019508,2013-10-22,2014-04-24,19,3,
1019509,2013-07-02,2014-07-02,14,3,
1019510,2012-10-14,2013-04-16,11,7,
1019511,2013-01-12,2013-07-15,8,5,
1019512,2010-12-20,2011-06-19,13,4,
1019513,2013-05-01,2014-05-01,2,6,
1019514,2012-09-02,2013-09-02,4,4,
1019515,2013-08-14,2014-02-12,1,2,
1019516,2013-05-14,2013-11-14,13,5,
1019517,2012-10-01,2013-04-03,18,2,
1019518,2013-09-03,2014-09-03,1,1,
1019519,2011-05-24,2012-05-24,1,2,
1019520,2011-01-13,2012-01-13,10,4,2011-09-13
1019521,2012-12-22,2013-06-22,14,5,
1019522,2013-11-10,2014-11-10,16,4,
1019523,2011-07-09,2012-07-08,2,4,
1019524,2011-08-10,2012-02-08,20,3,
1019525,2014-04-11,2015-04-11,5,3,
1019526,2011-04-20,2011-10-20,15,5,
1019527,2014-04-14,2015-04-14,3,6,
1019528,2013-09-28,2014-03-28,14,6,
1019529,2012-07-02,2012-12-31,8,3,
1019530,2012-07-23,2013-07-23,5,2,2013-02-21
1019531,2011-11-09,2012-05-10,3,5,
1019532,2013-02-26,2014-02-26,13,6,
1019533,2013-06-06,2014-06-06,19,6,
1019534,2012-08-20,2013-08-20,10,4,
1019535,2011-07-23,2012-01-21,6,1,
1019536,2012-07-30,2013-07-30,19,3,
1019537,2011-11-10,2012-11-10,1,4,
1019538,2011-07-17,2012-01-16,2,1,
1019539,2013-06-12,2013-12-12,16,1,
1019540,2013-05-04,2013-11-01,4,5,
1019541,2013-07-04,2014-01-04,7,5,2013-11-13
1019542,2014-01-22,2014-07-23,7,2,
1019543,2013-01-06,2013-07-08,12,3,
1019544,2013-08-12,2014-08-12,16,5,
1019545,2013-09-30,2014-03-31,20,5,
1019546,2013-04-23,2014-04-23,16,3,
1019547,2013-12-08,2014-06-08,11,3,
1019548,2013-10-16,2014-10-16,16,4,
1019549,2011-07-16,2012-01-16,11,7,
1019550,2011-12-11,2012-06-11,6,6,
1019551,2010-11-22,2011-11-22,3,4,2011-08-11
1019552,2012-12-31,2013-12-31,11,6,
1019553,2012-10-17,2013-04-19,12,1,
1019554,2013-07-02,2014-01-02,7,7,
1019555,2012-01-18,2012-07-18,15,4,
1019556,2011-12-18,2012-06-18,9,2,
1019557,2014-03-19,2014-09-17,8,4,
1019558,2012-05-12,2013-05-12,16,2,
1019559,2010-12-01,2011-12-02,10,2,
1019560,2011-05-30,2012-05-30,19,2,
1019561,2012-09-13,2013-03-13,16,2,
1019562,2011-11-14,2012-11-14,20,2,
1019563,2013-04-05,2014-04-05,19,3,
1019564,2012-04-30,2012-10-29,3,4,
1019565,2013-09-08,2014-09-08,15,1,
1019566,2013-03-18,2014-03-18,19,3,
1019567,2012-04-15,2013-04-16,20,5,
1019568,2011-10-29,2012-04-29,6,3,
1019569,2012-12-07,2013-06-06,4,3,2013-05-14
1019570,2011-07-14,2012-01-14,7,4,
1019571,2011-03-13,2011-09-10,13,2,
1019572,2012-06-25,2012-12-23,1,5,
1019573,2012-10-19,2013-04-20,2,5,
1019574,2012-04-15,2012-10-14,17,6,
1019575,2012-06-15,2012-12-16,20,2,
1019576,2011-05-03,2012-05-02,1,2,
1019577,2012-07-30,2013-01-28,10,1,
1019578,2013-05-25,2013-11-24,1,4,
1019579,2011-11-23,2012-05-25,8,5,
1019580,2013-03-16,2013-09-16,13,5,
1019581,2010-12-13,2011-12-14,13,7,
1019582,2012-07-27,2013-07-27,20,5,
1019583,2012-06-03,2012-12-01,8,6,
1019584,2012-08-22,2013-08-22,13,4,
1019585,2012-10-13,2013-04-15,6,7,
1019586,2012-12-28,2013-06-27,16,1,2013-04-14
1019587,2012-07-09,2013-07-09,17,3,
1019588,2011-05-30,2011-11-30,10,6,
1019589,2011-02-16,2012-02-17,15,6,
1019590,2011-05-08,2011-11-07,15,5,
1019591,2011-01-06,2011-07-06,18,1,
1019592,2013-06-22,2014-06-22,10,2,
1019593,2012-06-16,2012-12-15,10,3,
1019594,2011-09-28,2012-09-28,17,6,
1019595,2012-01-26,2013-01-26,12,1,
1019596,2011-12-29,2012-12-29,5,5,
1019597,2013-05-29,2013-11-29,10,6,
1019598,2011-05-16,2011-11-15,19,2,
1019599,2011-06-07,2011-12-08,13,5,
1019600,2013-07-31,2014-07-31,19,7,
1019601,2012-03-12,2013-03-12,18,2,
1019602,2013-02-08,2013-08-09,13,5,
1019603,2014-02-06,2015-02-06,10,7,
1019604,2014-01-01,2015-01-01,10,6,
1019605,2013-08-15,2014-02-15,2,6,
1019606,2010-12-24,2011-06-25,17,6,2011-03-24
1019607,2011-08-22,2012-02-20,9,7,2011-11-10
1019608,2013-02-21,2013-08-23,12,3,
1019609,2012-01-13,2013-01-13,4,5,
1019610,2011-12-11,2012-06-12,12,2,
1019611,2012-12-16,2013-12-16,13,1,
1019612,2013-01-04,2013-07-04,15,2,
1019613,2012-06-27,2013-06-27,15,2,
1019614,2014-04-02,2015-04-02,1,4,
1019615,2010-11-08,2011-11-09,1,1,
1019616,2011-07-06,2012-01-05,16,7,
1019617,2013-10-15,2014-04-15,3,4,
1019618,2013-07-06,2014-07-06,16,4,
1019619,2012-08-13,2013-08-13,17,1,
1019620,2011-10-24,2012-04-23,14,3,
1019621,2010-11-14,2011-11-14,8,4,
1019622,2010-12-21,2011-12-22,6,1,
1019623,2011-03-31,2012-03-30,11,2,
1019624,2011-09-06,2012-09-06,9,2,
1019625,2012-12-26,2013-12-26,13,6,
1019626,2011-05-02,2011-10-30,20,2,
1019627,2011-06-23,2011-12-22,20,3,
1019628,2011-08-03,2012-08-03,13,2,
1019629,2013-01-07,2014-01-07,11,1,
1019630,2011-04-11,2012-04-11,16,5,
1019631,2011-02-26,2012-02-27,11,6,
1019632,2012-10-01,2013-10-01,20,5,
1019633,2011-09-11,2012-03-13,2,7,
1019634,2013-04-25,2014-04-25,5,4,
1019635,2013-10-08,2014-04-10,17,2,
1019636,2013-02-01,2013-08-03,6,7,2013-06-26
1019637,2011-11-25,2012-11-25,15,3,
1019638,2012-02-09,2012-08-09,9,6,
1019639,2013-06-20,2013-12-19,12,4,
1019640,2012-03-27,2012-09-27,7,3,2012-09-17
1019641,2013-09-19,2014-03-22,13,1,
1019642,2012-07-13,2013-01-12,14,4,
1019643,2013-07-22,2014-01-22,3,2,
1019644,2011-04-13,2012-04-13,5,2,
1019645,2011-07-10,2012-01-08,18,4,
1019646,2012-03-02,2013-03-02,8,5,
1019647,2012-07-18,2013-01-16,14,3,
1019648,2011-03-02,2012-03-02,6,4,
1019649,2013-03-14,2014-03-14,6,6,
1019650,2013-06-03,2014-06-03,20,5,
1019651,2013-01-11,2013-07-11,14,2,
1019652,2013-04-08,2013-10-09,16,7,
1019653,2012-04-21,2012-10-22,3,1,
1019654,2012-01-25,2013-01-24,5,4,
1019655,2012-08-22,2013-08-22,18,7,
1019656,2011-11-14,2012-05-14,2,3,
1019657,2013-03-06,2014-03-06,10,6,
1019658,2010-11-02,2011-11-03,13,2,
1019659,2011-11-03,2012-05-05,17,1,
1019660,2013-10-01,2014-04-03,3,2,
1019661,2011-04-12,2011-10-13,5,5,
1019662,2011-05-23,2012-05-23,19,5,
1019663,2011-03-23,2011-09-23,16,1,2011-07-27
1019664,2013-03-14,2013-09-14,3,3,
1019665,2012-08-09,2013-08-09,6,2,
1019666,2010-12-29,2011-06-28,11,5,
1019667,2011-10-08,2012-04-09,17,7,2011-11-06
1019668,2013-08-02,2014-01-30,8,6,
1019669,2013-08-29,2014-02-28,19,6,
1019670,2011-02-16,2012-02-16,11,6,
1019671,2010-12-30,2011-12-31,1,2,
1019672,2012-05-16,2013-05-16,8,4,
1019673,2011-12-03,2012-12-03,18,6,
1019674,2012-06-21,2012-12-22,4,4,
1019675,2013-01-26,2014-01-26,14,7,
1019676,2011-07-03,2012-01-03,8,7,
1019677,2012-07-14,2013-01-11,17,5,
1019678,2013-06-16,2013-12-14,14,7,
1019679,2012-12-17,2013-06-18,13,5,
1019680,2012-01-01,2012-07-02,17,3,
1019681,2011-04-26,2011-10-27,15,5,
1019682,2013-05-22,2013-11-19,4,2,
1019683,2013-07-19,2014-07-19,14,3,
1019684,2011-05-23,2012-05-22,18,5,
1019685,2013-12-22,2014-12-22,5,3,
1019686,2013-11-06,2014-05-07,16,4,
1019687,2011-05-06,2011-11-04,13,6,
1019688,2012-11-14,2013-11-14,3,3,
1019689,2012-10-24,2013-04-26,2,1,
1019690,2011-12-05,2012-12-05,2,3,
1019691,2013-01-17,2013-07-20,20,5,
1019692,2012-03-05,2012-09-04,13,1,
1019693,2013-01-09,2014-01-09,11,1,2013-08-19
1019694,2013-05-01,2013-10-29,18,5,2013-08-27
1019695,2010-07-12,2011-07-12,9,2,
1019696,2013-03-31,2014-03-31,15,1,
1019697,2012-06-01,2012-11-30,20,1,
1019698,2011-07-17,2012-07-17,8,4,
1019699,2011-06-27,2011-12-25,7,6,2011-09-20
1019700,2012-10-20,2013-10-20,6,5,
1019701,2013-08-28,2014-02-28,3,1,
1019702,2013-12-07,2014-12-07,17,2,
1019703,2012-11-06,2013-11-06,1,4,
1019704,2011-05-22,2011-11-22,5,3,
1019705,2013-06-24,2013-12-24,10,7,
1019706,2012-02-05,2012-08-06,10,2,
1019707,2011-03-25,2011-09-25,19,2,
1019708,2011-01-09,2012-01-10,1,5,2011-10-28
1019709,2012-01-09,2012-07-11,13,1,
1019710,2012-10-29,2013-04-29,4,4,
1019711,2011-05-18,2012-05-18,1,3,
1019712,2011-09-18,2012-09-18,20,7,2012-04-25
1019713,2013-11-10,2014-05-12,17,1,
1019714,2013-07-21,2014-01-20,6,7,
1019715,2010-10-06,2011-04-08,17,2,
1019716,2013-11-18,2014-11-18,6,3,
1019717,2013-03-17,2014-03-17,17,4,
1019718,2013-03-23,2014-03-23,13,2,
1019719,2011-07-16,2012-01-16,17,4,
1019720,2012-08-16,2013-08-16,15,4,
1019721,2010-09-20,2011-03-23,17,1,
1019722,2013-02-08,2014-02-08,18,6,
1019723,2013-06-22,2014-06-22,7,3,
1019724,2011-09-03,2012-03-05,8,2,
1019725,2012-10-19,2013-10-19,10,3,
1019726,2013-01-16,2013-07-16,20,4,
1019727,2012-03-30,2013-03-31,9,1,
1019728,2011-10-11,2012-04-10,7,6,
1019729,2011-11-19,2012-11-19,3,2,
1019730,2012-05-29,2013-05-29,13,1,
1019731,2012-09-16,2013-03-16,11,5,2012-12-20
1019732,2012-01-18,2013-01-18,10,1,
1019733,2013-05-26,2014-05-26,6,7,
1019734,2012-05-30,2013-05-30,18,3,
